X,Y,fid,nom_gie,zone,capacite,layer,unite,capa,auxiliary_,auxiliar_1,nom-ar,icon_url,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony
-1.21817876981181,32.1025022736948,4,OC Figuig,DPA_Figuig,125,Figuig,T,100,935151.135308304568753,164227.361794649361400,واحة دائرة فجيج,./0.png,853148.19866822,196885.352716421
-6.86630024102257,30.0789063158754,5,Chaabat Chab,ORMVAO,100,Foum Zguid,T,100,386960.299603920371737,-158323.379938574391417,شعبة الشب,./0.png,336826.128790108,-68576.3901957044
-8.25414134927878,29.400948607509,6,Tamdoulte,DPA_Tata,60,Akka,T,60,213549.833859770093113,-226648.231674324371852,تامدولت,./0.png,139507.245225102,-205885.983692764
-5.50172678974341,30.0583096642074,10,Toumour Azaghar,ORMVAO,200,Tagounite,T,200,555801.599560890113935,-103514.713903996773297,تمور ازغار,./0.png,487351.604783518,-80431.5446275054
-5.5638865211509,30.7689612640643,12,Maider Tazarine,ORMVAO,200,Tazarine,T,200,689869.887817884795368,-12203.938379970904862,معيدر تازارين,./0.png,493026.880387626,12252.8025108802
-7.22793096200934,31.0462719974139,15,Ouhmidi AlKobra,ORMVAO,100,Taznakhte,T,100,177562.662210289825452,71367.814674998255214,احميدي الكبرى,./0.png,220789.907833297,32456.7218133515
-5.87361854497714,29.7142002562104,18,Toumour Mhamid,ORMVAO,100,Mhamid Lghizlan,T,100,486288.685574337840080,-188368.409414547844790,تمور المحاميد,./0.png,412571.284794769,-116845.921802242
-7.31342704132706,29.8880977157042,19,Draa Soghra,Tata,100,Tissint,T,100,308741.930918979225680,-184876.325781022111187,درعة الصغرى,./0.png,278236.224896725,-103773.112081181
